code,name,start_season,end_season,clubs,intl


### quick hack - add more leagues "by hand"
###    todo - add leagues upstream!!!


mls,Major League Soccer,,
mls.back,MLS is Back Tournament,,


## first expansion season ->  2020/21 Apertura
## last ascenso season    ->  2019/20 Clausura
mx.2.expansion,Liga de Expansión MX,2020/21,
mx.2.ascenso,Ascenso MX,,2019/20


### add alternate keys for de.4
de.4.n,Deutsche Regionalliga Nord,,
de.4.no,Deutsche Regionalliga Nordost,,
de.4.w,Deutsche Regionalliga West,,
de.4.sw,Deutsche Regionalliga Südwest,,


## italy - update upstream
##   use seriec_a or seriec-a ???
# it.3.a,Italian Serie C (North & Central West),,
# it.3.b,Italian Serie C (North & Central East),,
# it.3.c,Italian Serie C (South),,

## england
##  add alternate codes / keys
eng.fa.cup,English FA Cup,,
eng.efl.cup,English EFL Cup,,


### quick hack
###   alternate codes (duplicates); use/settle on one canonical league code!!!
br.cup,Copa do Brasil,,      ## br.copa


### club world cup  - start with 2000 - why? why not?
###  fix - upstream uses world.club !!! 
world.clubs,Club World Cup,2000,,  true, true

